uid	run	experiment	study	study_name	sample	bioproject	biosample	submitter	library_strategy	library_source	layout	platform	instrument	total_bases	est_depth	organism	title
46601317	DRR1088492	DRX1064040	DRP019511	WGS of the progeny of Koshihikari and Hirayama	DRS773279	PRJDB42961	SAMD01957131	DRA029637	WGS	GENOMIC	PAIRED	DNBSEQ	DNBSEQ-T7	5301895500	14.14	Oryza sativa Japonica Group	DNBSEQ-T7 paired end sequencing of SAMD01957131
46601316	DRR1088491	DRX1064039	DRP019511	WGS of the progeny of Koshihikari and Hirayama	DRS773278	PRJDB42961	SAMD01957130	DRA029637	WGS	GENOMIC	PAIRED	DNBSEQ	DNBSEQ-T7	10870383000	28.99	Oryza sativa Japonica Group	DNBSEQ-T7 paired end sequencing of SAMD01957130
46601315	DRR1088490	DRX1064038	DRP019511	WGS of the progeny of Koshihikari and Hirayama	DRS773277	PRJDB42961	SAMD01957129	DRA029637	WGS	GENOMIC	PAIRED	DNBSEQ	DNBSEQ-T7	8403242400	22.41	Oryza sativa Japonica Group	DNBSEQ-T7 paired end sequencing of SAMD01957129
46601314	DRR1088489	DRX1064037	DRP019511	WGS of the progeny of Koshihikari and Hirayama	DRS773276	PRJDB42961	SAMD01957128	DRA029637	WGS	GENOMIC	PAIRED	DNBSEQ	DNBSEQ-T7	9366044700	24.98	Oryza sativa Japonica Group	DNBSEQ-T7 paired end sequencing of SAMD01957128
46601313	DRR1088488	DRX1064036	DRP019511	WGS of the progeny of Koshihikari and Hirayama	DRS773275	PRJDB42961	SAMD01957127	DRA029637	WGS	GENOMIC	PAIRED	DNBSEQ	DNBSEQ-T7	5745539100	15.32	Oryza sativa Japonica Group	DNBSEQ-T7 paired end sequencing of SAMD01957127
46601312	DRR1088487	DRX1064035	DRP019511	WGS of the progeny of Koshihikari and Hirayama	DRS773274	PRJDB42961	SAMD01957126	DRA029637	WGS	GENOMIC	PAIRED	DNBSEQ	DNBSEQ-T7	7510785000	20.03	Oryza sativa Japonica Group	DNBSEQ-T7 paired end sequencing of SAMD01957126
46601311	DRR1088486	DRX1064034	DRP019511	WGS of the progeny of Koshihikari and Hirayama	DRS773273	PRJDB42961	SAMD01957125	DRA029637	WGS	GENOMIC	PAIRED	DNBSEQ	DNBSEQ-T7	6969215700	18.58	Oryza sativa Japonica Group	DNBSEQ-T7 paired end sequencing of SAMD01957125
46601310	DRR1088485	DRX1064033	DRP019511	WGS of the progeny of Koshihikari and Hirayama	DRS773272	PRJDB42961	SAMD01957124	DRA029637	WGS	GENOMIC	PAIRED	DNBSEQ	DNBSEQ-T7	8216974800	21.91	Oryza sativa Japonica Group	DNBSEQ-T7 paired end sequencing of SAMD01957124
46601309	DRR1088484	DRX1064032	DRP019511	WGS of the progeny of Koshihikari and Hirayama	DRS773271	PRJDB42961	SAMD01957123	DRA029637	WGS	GENOMIC	PAIRED	DNBSEQ	DNBSEQ-T7	6254459100	16.68	Oryza sativa Japonica Group	DNBSEQ-T7 paired end sequencing of SAMD01957123
46601308	DRR1088483	DRX1064031	DRP019511	WGS of the progeny of Koshihikari and Hirayama	DRS773270	PRJDB42961	SAMD01957122	DRA029637	WGS	GENOMIC	PAIRED	DNBSEQ	DNBSEQ-T7	7783304700	20.76	Oryza sativa Japonica Group	DNBSEQ-T7 paired end sequencing of SAMD01957122
46601307	DRR1088482	DRX1064030	DRP019511	WGS of the progeny of Koshihikari and Hirayama	DRS773269	PRJDB42961	SAMD01957121	DRA029637	WGS	GENOMIC	PAIRED	DNBSEQ	DNBSEQ-T7	6580817400	17.55	Oryza sativa Japonica Group	DNBSEQ-T7 paired end sequencing of SAMD01957121
46601306	DRR1088481	DRX1064029	DRP019511	WGS of the progeny of Koshihikari and Hirayama	DRS773268	PRJDB42961	SAMD01957120	DRA029637	WGS	GENOMIC	PAIRED	DNBSEQ	DNBSEQ-T7	7663418100	20.44	Oryza sativa Japonica Group	DNBSEQ-T7 paired end sequencing of SAMD01957120
46601305	DRR1088480	DRX1064028	DRP019511	WGS of the progeny of Koshihikari and Hirayama	DRS773267	PRJDB42961	SAMD01957119	DRA029637	WGS	GENOMIC	PAIRED	DNBSEQ	DNBSEQ-T7	8835448500	23.56	Oryza sativa Japonica Group	DNBSEQ-T7 paired end sequencing of SAMD01957119
46601304	DRR1088479	DRX1064027	DRP019511	WGS of the progeny of Koshihikari and Hirayama	DRS773266	PRJDB42961	SAMD01957118	DRA029637	WGS	GENOMIC	PAIRED	DNBSEQ	DNBSEQ-T7	7052526300	18.81	Oryza sativa Japonica Group	DNBSEQ-T7 paired end sequencing of SAMD01957118
46601303	DRR1088478	DRX1064026	DRP019511	WGS of the progeny of Koshihikari and Hirayama	DRS773265	PRJDB42961	SAMD01957117	DRA029637	WGS	GENOMIC	PAIRED	DNBSEQ	DNBSEQ-T7	4727994000	12.61	Oryza sativa Japonica Group	DNBSEQ-T7 paired end sequencing of SAMD01957117
46601302	DRR1088477	DRX1064025	DRP019511	WGS of the progeny of Koshihikari and Hirayama	DRS773264	PRJDB42961	SAMD01957116	DRA029637	WGS	GENOMIC	PAIRED	DNBSEQ	DNBSEQ-T7	8921404200	23.79	Oryza sativa Japonica Group	DNBSEQ-T7 paired end sequencing of SAMD01957116
46590588	DRR969941	DRX947576	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS633883	PRJDB38331	SAMD01759468	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4149955500	11.07	Oryza sativa	A3112 (CRX840987)
46590587	DRR970115	DRX947750	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS634057	PRJDB38331	SAMD01759642	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4241612400	11.31	Oryza sativa	A39 (CRX841161)
46590586	DRR968406	DRX946041	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS632348	PRJDB38331	SAMD01757933	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4031612700	10.75	Oryza sativa	A1282 (CRX839452)
46590585	DRR969352	DRX946987	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS633294	PRJDB38331	SAMD01758879	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	7598577600	20.26	Oryza sativa	A241 (CRX840398)
46589463	DRR969209	DRX946844	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS633151	PRJDB38331	SAMD01758736	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4434593368	11.83	Oryza sativa	A2269 (CRX840255)
46589462	DRR971723	DRX949358	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS635665	PRJDB38331	SAMD01761250	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	3628691400	9.68	Oryza sativa	B2296 (CRX842769)
46589461	DRR971496	DRX949131	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS635438	PRJDB38331	SAMD01761023	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4286490000	11.43	Oryza sativa	B2055 (CRX842542)
46585073	DRR968863	DRX946498	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS632805	PRJDB38331	SAMD01758390	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4292697000	11.45	Oryza sativa	A186 (CRX839909)
46585072	DRR968551	DRX946186	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS632493	PRJDB38331	SAMD01758078	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	3801779100	10.14	Oryza sativa	A146 (CRX839597)
46580333	DRR969616	DRX947251	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS633558	PRJDB38331	SAMD01759143	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4929874800	13.15	Oryza sativa	A2712 (CRX840662)
46580332	DRR968586	DRX946221	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS632528	PRJDB38331	SAMD01758113	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	3984960300	10.63	Oryza sativa	A1509 (CRX839632)
46580331	DRR970118	DRX947753	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS634060	PRJDB38331	SAMD01759645	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4548744900	12.13	Oryza sativa	A41 (CRX841164)
46580072	DRR968201	DRX945836	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS632143	PRJDB38331	SAMD01757728	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	5906599800	15.75	Oryza sativa	A1054 (CRX839247)
46580071	DRR970572	DRX948207	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS634514	PRJDB38331	SAMD01760099	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	6447246900	17.19	Oryza sativa	B1008 (CRX841618)
46579608	DRR969679	DRX947314	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS633621	PRJDB38331	SAMD01759206	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4393981500	11.72	Oryza sativa	A27 (CRX840725)
46578667	DRR972292	DRX949927	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS636234	PRJDB38331	SAMD01761819	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	6576329700	17.54	Oryza sativa	B313 (CRX843338)
46578666	DRR969317	DRX946952	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS633259	PRJDB38331	SAMD01758844	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4960874574	13.23	Oryza sativa	A2385 (CRX840363)
46578665	DRR971790	DRX949425	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS635732	PRJDB38331	SAMD01761317	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4438173300	11.84	Oryza sativa	B2409 (CRX842836)
46570384	DRR972499	DRX950134	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS636441	PRJDB38331	SAMD01762026	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4353571800	11.61	Oryza sativa	B545 (CRX843545)
46570383	DRR972312	DRX949947	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS636254	PRJDB38331	SAMD01761839	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	8277213300	22.07	Oryza sativa	B334 (CRX843358)
46570382	DRR968851	DRX946486	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS632793	PRJDB38331	SAMD01758378	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	6132083400	16.35	Oryza sativa	A1852 (CRX839897)
46558445	DRR971346	DRX948981	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS635288	PRJDB38331	SAMD01760873	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4712233200	12.57	Oryza sativa	B1904 (CRX842392)
46554044	DRR972387	DRX950022	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS636329	PRJDB38331	SAMD01761914	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	3922466700	10.46	Oryza sativa	B423 (CRX843433)
46554043	DRR970380	DRX948015	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS634322	PRJDB38331	SAMD01759907	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	3174714900	8.47	Oryza sativa	A772 (CRX841426)
46531703	DRR969375	DRX947010	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS633317	PRJDB38331	SAMD01758902	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4572105600	12.19	Oryza sativa	A2445 (CRX840421)
46531696	DRR969051	DRX946686	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS632993	PRJDB38331	SAMD01758578	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	6173309400	16.46	Oryza sativa	A2094 (CRX840097)
46528624	DRR970362	DRX947997	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS634304	PRJDB38331	SAMD01759889	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4304415900	11.48	Oryza sativa	A74 (CRX841408)
46518446	DRR971833	DRX949468	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS635775	PRJDB38331	SAMD01761360	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	3943543800	10.52	Oryza sativa	B2469 (CRX842879)
46501832	DRR968849	DRX946484	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS632791	PRJDB38331	SAMD01758376	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	5769425100	15.39	Oryza sativa	A184 (CRX839895)
46496173	DRR969070	DRX946705	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS633012	PRJDB38331	SAMD01758597	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4747006500	12.66	Oryza sativa	A2112 (CRX840116)
46491564	DRR971930	DRX949565	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS635872	PRJDB38331	SAMD01761457	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4827432600	12.87	Oryza sativa	B2580 (CRX842976)
46477076	DRR971174	DRX948809	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS635116	PRJDB38331	SAMD01760701	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4963594500	13.24	Oryza sativa	B1733 (CRX842220)
46475527	DRR971900	DRX949535	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS635842	PRJDB38331	SAMD01761427	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4269018600	11.38	Oryza sativa	B2544 (CRX842946)
46474221	DRR972305	DRX949940	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS636247	PRJDB38331	SAMD01761832	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	5172609900	13.79	Oryza sativa	B325 (CRX843351)
46474220	DRR972187	DRX949822	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS636129	PRJDB38331	SAMD01761714	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4642670100	12.38	Oryza sativa	B2864 (CRX843233)
46466910	DRR970688	DRX948323	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS634630	PRJDB38331	SAMD01760215	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4705871700	12.55	Oryza sativa	B1154 (CRX841734)
46457318	DRR970645	DRX948280	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS634587	PRJDB38331	SAMD01760172	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	5872251600	15.66	Oryza sativa	B1102 (CRX841691)
46451923	SRR40392224	SRX34998391	SRP731338	WAK22Os02g0808100RNA-seq	SRS30517407	PRJNA1520097	SAMN62758426	SRA2526057	WGS	GENOMIC	PAIRED	ILLUMINA	Illumina NovaSeq 6000	5567356410	14.85	Oryza sativa	Oryza sativa DNA sample: X320
46451922	SRR40392225	SRX34998390	SRP731338	WAK22Os02g0808100RNA-seq	SRS30517406	PRJNA1520097	SAMN62758425	SRA2526057	WGS	GENOMIC	PAIRED	ILLUMINA	Illumina NovaSeq 6000	5835718744	15.56	Oryza sativa	Oryza sativa DNA sample: X319
46451921	SRR40392226	SRX34998389	SRP731338	WAK22Os02g0808100RNA-seq	SRS30517405	PRJNA1520097	SAMN62758424	SRA2526057	WGS	GENOMIC	PAIRED	ILLUMINA	Illumina NovaSeq 6000	6007522316	16.02	Oryza sativa	Oryza sativa DNA sample: X308
46451920	SRR40392227	SRX34998388	SRP731338	WAK22Os02g0808100RNA-seq	SRS30517404	PRJNA1520097	SAMN62758423	SRA2526057	WGS	GENOMIC	PAIRED	ILLUMINA	Illumina NovaSeq 6000	5708153038	15.22	Oryza sativa	Oryza sativa DNA sample: X307
46451919	SRR40392228	SRX34998387	SRP731338	WAK22Os02g0808100RNA-seq	SRS30517403	PRJNA1520097	SAMN62758422	SRA2526057	WGS	GENOMIC	PAIRED	ILLUMINA	Illumina NovaSeq 6000	5915070150	15.77	Oryza sativa	Oryza sativa DNA sample: X305
46451918	SRR40392229	SRX34998386	SRP731338	WAK22Os02g0808100RNA-seq	SRS30517402	PRJNA1520097	SAMN62758421	SRA2526057	WGS	GENOMIC	PAIRED	ILLUMINA	Illumina NovaSeq 6000	6179111770	16.48	Oryza sativa	Oryza sativa DNA sample: X304
46448975	DRR969776	DRX947411	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS633718	PRJDB38331	SAMD01759303	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	3228780900	8.61	Oryza sativa	A28 (CRX840822)
46448379	DRR969475	DRX947110	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS633417	PRJDB38331	SAMD01759002	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	5414522400	14.44	Oryza sativa	A2557 (CRX840521)
46435218	DRR970529	DRX948164	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS634471	PRJDB38331	SAMD01760056	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4690633500	12.51	Oryza sativa	A966 (CRX841575)
46434181	DRR971239	DRX948874	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS635181	PRJDB38331	SAMD01760766	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	4400097600	11.73	Oryza sativa	B1797 (CRX842285)
46434180	DRR968788	DRX946423	DRP016783	rice ZH11 ems4611  database (PRJCA020505)	DRS632730	PRJDB38331	SAMD01758315	DRA026964	WGS	GENOMIC	PAIRED	ILLUMINA	HiSeq X Ten	5343282300	14.25	Oryza sativa	A1770 (CRX839834)
