run_accession	sample_accession	sample_title	sample_alias	scientific_name	cultivar	variety	ecotype	strain	country	instrument_platform	library_layout	base_count
ERR9928599	SAMEA110321387	T0_15_1	E-MTAB-11931:T0_15_1	Oryza sativa	indica/japonica					ILLUMINA	PAIRED	1001171454
ERR9928601	SAMEA110321389	T1_15_1_10	E-MTAB-11931:T1_15_1_10	Oryza sativa	indica/japonica					ILLUMINA	PAIRED	633045883
ERR9928606	SAMEA110321394	T1_37_7_20	E-MTAB-11931:T1_37_7_20	Oryza sativa	indica/japonica					ILLUMINA	PAIRED	967879252
ERR9928618	SAMEA110321406	T2_37_7_15_3	E-MTAB-11931:T2_37_7_15_3	Oryza sativa	indica/japonica					ILLUMINA	PAIRED	937476947
SRR063593	SAMN00027421	Oryza sativa	IRGC9148	Oryza sativa						ILLUMINA	PAIRED	4456970800
SRR063599	SAMN00027417	Oryza sativa	IRGC8555	Oryza sativa						ILLUMINA	PAIRED	6680966200
SRR063601	SAMN00027415	Oryza sativa	IRGC8231	Oryza sativa						ILLUMINA	PAIRED	6485157200
SRR063602	SAMN00027425	Oryza sativa	RA4952	Oryza sativa						ILLUMINA	PAIRED	6811836400
SRR063607	SAMN00027405	Oryza sativa	IRGC50448	Oryza sativa						ILLUMINA	PAIRED	7079537400
SRR063616	SAMN00027393	Oryza sativa	IRGC30416	Oryza sativa						ILLUMINA	PAIRED	6789805200
SRR063621	SAMN00027381	Oryza sativa	IRGC106105	Oryza sativa						ILLUMINA	PAIRED	6382074800
SRR063623	SAMN00027424	Oryza sativa	P46	Oryza sativa						ILLUMINA	PAIRED	5473082000
SRR063630	SAMN00027414	Oryza sativa	IRGC8191	Oryza sativa						ILLUMINA	PAIRED	6750379000
SRR063635	SAMN00027401	Oryza sativa	IRGC43397	Oryza sativa						ILLUMINA	PAIRED	6296740800
SRR063636	SAMN00027403	Oryza sativa	IRGC43675	Oryza sativa						ILLUMINA	PAIRED	6245397000
SRR063637	SAMN00027384	Oryza sativa	IRGC1107	Oryza sativa						ILLUMINA	PAIRED	6225017800
SRR063640	SAMN00027413	Oryza sativa	IRGC80470	Oryza sativa						ILLUMINA	PAIRED	687122656
SRR063645	SAMN00027394	Oryza sativa	IRGC31856	Oryza sativa						ILLUMINA	PAIRED	926821456
SRR063647	SAMN00027386	Oryza sativa	IRGC12883	Oryza sativa						ILLUMINA	PAIRED	658598248
SRR063653	SAMN00027388	Oryza sativa	IRGC2540	Oryza sativa						ILLUMINA	PAIRED	982473800
SRR063655	SAMN00027426	Oryza sativa	VOC4	Oryza sativa						ILLUMINA	PAIRED	874299800
SRR063658	SAMN00027381	Oryza sativa	IRGC106105	Oryza sativa						ILLUMINA	PAIRED	998659464
SRR10083943	SAMN12714225	Plant sample from Oryza sativa	RWG-209	Oryza sativa			indica		South Korea	ILLUMINA	PAIRED	4803614000
SRR10083944	SAMN12714224	Plant sample from Oryza sativa	RWG-208	Oryza sativa			indica		South Korea	ILLUMINA	PAIRED	3816721000
SRR10083949	SAMN12714219	Plant sample from Oryza sativa	RWG-167	Oryza sativa			Tropical japonica		South Korea	ILLUMINA	PAIRED	4498714600
SRR10083950	SAMN12714218	Plant sample from Oryza sativa	RWG-163	Oryza sativa			indica		South Korea	ILLUMINA	PAIRED	3651303200
SRR10083952	SAMN12714216	Plant sample from Oryza sativa	RWG-153	Oryza sativa			Temperate japonica		South Korea	ILLUMINA	PAIRED	14195184600
SRR10083953	SAMN12714207	Plant sample from Oryza sativa	RWG-005	Oryza sativa			indica		South Korea	ILLUMINA	PAIRED	4211601020
SRR1019124	SAMN02384028	Sample from Oryza sativa	BGI-YVB	Oryza sativa						ILLUMINA	PAIRED	1411179700
SRR10302206	SAMN13021815	Plant sample from IRGC 125827 O. sativa type indica variety "LIU XU::IRGC 109232-1"	IRGC 125827	Oryza sativa	LIU XU::IRGC 109232-1				China	PACBIO_SMRT	SINGLE	232213541
SRR10302208	SAMN13021815	Plant sample from IRGC 125827 O. sativa type indica variety "LIU XU::IRGC 109232-1"	IRGC 125827	Oryza sativa	LIU XU::IRGC 109232-1				China	PACBIO_SMRT	SINGLE	9334306016
SRR10307282	SAMN12924120	H1	Y09	Oryza sativa					China: Guangzhou	ILLUMINA	PAIRED	25153365849
SRR10379860	SAMN12812472	Oryza sativa cv. Kitaake FN2283 Resequencing	SAMN12812472	Oryza sativa	Kitaake FN2283				missing	ILLUMINA	PAIRED	33913495586
SRR10380539	SAMN12812588	Oryza sativa cv. Kitaake FN2295 Resequencing	SAMN12812588	Oryza sativa	Kitaake FN2295				missing	ILLUMINA	PAIRED	29385965342
SRR10386435	SAMN12812498	Oryza sativa cv. Kitaake FN2320 Resequencing	SAMN12812498	Oryza sativa	Kitaake FN2320				missing	ILLUMINA	PAIRED	18897633692
SRR10387476	SAMN12812320	Oryza sativa cv. Kitaake FN2332 Resequencing	SAMN12812320	Oryza sativa	Kitaake FN2332				missing	ILLUMINA	PAIRED	30704054308
SRR10387974	SAMN12812577	Oryza sativa cv. Kitaake FN2347 Resequencing	SAMN12812577	Oryza sativa	Kitaake FN2347				missing	ILLUMINA	PAIRED	28778486604
SRR10388002	SAMN12812681	Oryza sativa cv. Kitaake FN2348 Resequencing	SAMN12812681	Oryza sativa	Kitaake FN2348				missing	ILLUMINA	PAIRED	23413220440
SRR10388023	SAMN12812415	Oryza sativa cv. Kitaake FN2356 Resequencing	SAMN12812415	Oryza sativa	Kitaake FN2356				missing	ILLUMINA	PAIRED	29014812476
SRR10388028	SAMN12812315	Oryza sativa cv. Kitaake FN2362 Resequencing	SAMN12812315	Oryza sativa	Kitaake FN2362				missing	ILLUMINA	PAIRED	18890695846
SRR10388030	SAMN12812401	Oryza sativa cv. Kitaake FN2370 Resequencing	SAMN12812401	Oryza sativa	Kitaake FN2370				missing	ILLUMINA	PAIRED	17849777648
SRR10388042	SAMN12812416	Oryza sativa cv. Kitaake FN2374 Resequencing	SAMN12812416	Oryza sativa	Kitaake FN2374				missing	ILLUMINA	PAIRED	18819327206
SRR10388045	SAMN12812579	Oryza sativa cv. Kitaake FN2373 Resequencing	SAMN12812579	Oryza sativa	Kitaake FN2373				missing	ILLUMINA	PAIRED	26387805680
SRR10388293	SAMN12812418	Oryza sativa cv. Kitaake FN2383 Resequencing	SAMN12812418	Oryza sativa	Kitaake FN2383				missing	ILLUMINA	PAIRED	17792844608
SRR10388302	SAMN12812537	Oryza sativa cv. Kitaake FN2386 Resequencing	SAMN12812537	Oryza sativa	Kitaake FN2386				missing	ILLUMINA	PAIRED	26312666268
SRR10389228	SAMN11087582	neo-tetraploid rice leaf	Huaduo110	Oryza sativa					China: Guangzhou	ILLUMINA	PAIRED	18676952376
SRR10389233	SAMN11087620	autotetraploid rice leaf	4001-4x	Oryza sativa					China: Guangzhou	ILLUMINA	PAIRED	21546146586
SRR10389241	SAMN11087577	neo-tetraploid rice leaf	Huaduo1-v	Oryza sativa					China: Guangzhou	ILLUMINA	PAIRED	25153365849
SRR10389256	SAMN11087599	common wild rice leaf	Huaye2	Oryza sativa					China: Guangzhou	ILLUMINA	PAIRED	20434385568
SRR10389268	SAMN11087588	neo-tetraploid rice leaf	Huaduo25129	Oryza sativa					China: Guangzhou	ILLUMINA	PAIRED	15865788596
SRR10389274	SAMN11087574	neo-tetraploid rice leaf	Huaduo3-v	Oryza sativa					China: Guangzhou	ILLUMINA	PAIRED	23731800840
SRR11047459	SAMN13870997	Plant sample from Oryza sativa	indica rice	Oryza sativa			Early-season rice		China:Southern China	ILLUMINA	PAIRED	4728578500
SRR11047461	SAMN13870997	Plant sample from Oryza sativa	indica rice	Oryza sativa			Early-season rice		China:Southern China	ILLUMINA	PAIRED	17692023300
SRR11047465	SAMN13870997	Plant sample from Oryza sativa	indica rice	Oryza sativa			Early-season rice		China:Southern China	ILLUMINA	PAIRED	14865890400
