run_accession	experiment_accession	sample_accession	study_accession	secondary_study_accession	instrument_platform	instrument_model	library_layout	library_strategy	library_source	read_count	base_count	center_name	first_public	country	sample_title	sample_alias	scientific_name	tax_id	fastq_ftp	fastq_bytes
ERR7068331	ERX6637277	SAMEA10005080	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	584084	87612600	Shanghai Normal University	2024-07-18		N7-3-50B	N7-3-50B	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/001/ERR7068331/ERR7068331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/001/ERR7068331/ERR7068331_2.fastq.gz	26037366;28150488
ERR7068336	ERX6637282	SAMEA10005085	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	394898	59234700	Shanghai Normal University	2024-07-18		N7-3-51D	N7-3-51D	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/006/ERR7068336/ERR7068336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/006/ERR7068336/ERR7068336_2.fastq.gz	17516306;18572420
ERR7068340	ERX6637286	SAMEA10005089	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	695404	104310600	Shanghai Normal University	2024-07-18		N7-3-5D	N7-3-5D	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/000/ERR7068340/ERR7068340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/000/ERR7068340/ERR7068340_2.fastq.gz	29298211;29695852
ERR7068350	ERX6637296	SAMEA10005099	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	943150	141472500	Shanghai Normal University	2024-07-18		N7-3-7E	N7-3-7E	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/000/ERR7068350/ERR7068350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/000/ERR7068350/ERR7068350_2.fastq.gz	41297490;42590373
ERR7068353	ERX6637299	SAMEA10005102	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	710136	106520400	Shanghai Normal University	2024-07-18		N7-3-8C	N7-3-8C	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/003/ERR7068353/ERR7068353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/003/ERR7068353/ERR7068353_2.fastq.gz	31131729;33220376
ERR7068359	ERX6637305	SAMEA10005108	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	912146	136821900	Shanghai Normal University	2024-07-18		N7-3-9D	N7-3-9D	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/009/ERR7068359/ERR7068359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/009/ERR7068359/ERR7068359_2.fastq.gz	39938809;41765755
ERR7068365	ERX6637311	SAMEA10005114	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	622790	93418500	Shanghai Normal University	2024-07-18		N7-4-11B	N7-4-11B	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/005/ERR7068365/ERR7068365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/005/ERR7068365/ERR7068365_2.fastq.gz	28294454;30677957
ERR7068369	ERX6637315	SAMEA10005118	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	454172	68125800	Shanghai Normal University	2024-07-18		N7-4-12A	N7-4-12A	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/009/ERR7068369/ERR7068369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/009/ERR7068369/ERR7068369_2.fastq.gz	20060567;21233387
ERR7068376	ERX6637322	SAMEA10005125	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	479894	71984100	Shanghai Normal University	2024-07-18		N7-4-13C	N7-4-13C	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/006/ERR7068376/ERR7068376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/006/ERR7068376/ERR7068376_2.fastq.gz	21391476;23375741
ERR7068377	ERX6637323	SAMEA10005126	PRJEB45851	ERP130014	ILLUMINA	HiSeq X Ten	PAIRED	WGS	GENOMIC	436626	65493900	Shanghai Normal University	2024-07-18		N7-4-13D	N7-4-13D	Oryza sativa	4530	ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/007/ERR7068377/ERR7068377_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR706/007/ERR7068377/ERR7068377_2.fastq.gz	19992705;22109046
