sample_id	variety_name	subspecies	run_accession	bioproject	biosample	platform	paired_or_single	estimated_depth	read_length	fastq_ftp	fastq_bytes	source_db	panel_role
SRR15040869	Jiangxiang1	indica	SRR15040869	PRJNA743713	SAMN20058628	ILLUMINA	PAIRED	20.818	299.7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/069/SRR15040869/SRR15040869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/069/SRR15040869/SRR15040869_2.fastq.gz	1422443940;1421886803	NCBI_SRA	pilot
DRR771401	Long Japonica 13	japonica	DRR771401	PRJDB36518	SAMD01666525	ILLUMINA	PAIRED	20.024	299.6	ftp.sra.ebi.ac.uk/vol1/fastq/DRR771/DRR771401/DRR771401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR771/DRR771401/DRR771401_2.fastq.gz	1452926707;1548248398	DDBJ	pilot
SRR18272552	Sherpa	aus	SRR18272552	PRJNA813905	SAMN26528297	ILLUMINA	PAIRED	27.851	302.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/052/SRR18272552/SRR18272552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/052/SRR18272552/SRR18272552_2.fastq.gz	2530924793;2692549198	NCBI_SRA	pilot
SRR25567266	Gaekjujodo	unknown	SRR25567266	PRJNA1003283	SAMN36886480	ILLUMINA	PAIRED	20.034	302.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR255/066/SRR25567266/SRR25567266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR255/066/SRR25567266/SRR25567266_2.fastq.gz	1396692204;1402766789	NCBI_SRA	pilot
SRR34854884	Nangeng46	temperate_japonica	SRR34854884	PRJNA1301070	SAMN50434488	BGISEQ	PAIRED	38.493	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR348/084/SRR34854884/SRR34854884_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR348/084/SRR34854884/SRR34854884_2.fastq.gz	5394664212;5632698452	NCBI_SRA	pilot
