sample_id	variety_name	subspecies	run_accession	bioproject	biosample	platform	paired_or_single	estimated_depth	read_length	fastq_ftp	fastq_bytes	source_db	panel_role
SRR34854884	Nangeng46	temperate_japonica	SRR34854884	PRJNA1301070	SAMN50434488	BGISEQ	PAIRED	38.493	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR348/084/SRR34854884/SRR34854884_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR348/084/SRR34854884/SRR34854884_2.fastq.gz	5394664212;5632698452	NCBI_SRA	pilot
SRR34854885	Hugeng137	temperate_japonica	SRR34854885	PRJNA1301070	SAMN50434487	BGISEQ	PAIRED	38.242	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR348/085/SRR34854885/SRR34854885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR348/085/SRR34854885/SRR34854885_2.fastq.gz	6594907746;6641015443	NCBI_SRA	pilot
SRR13189454	Kola Joha	aromatic	SRR13189454	PRJNA678305	SAMN16793264	ILLUMINA	PAIRED	35.363	302.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/054/SRR13189454/SRR13189454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR131/054/SRR13189454/SRR13189454_2.fastq.gz	3448281222;3820265865	NCBI_SRA	pilot
SRR22201068	Koshihijar	japonica	SRR22201068	PRJNA894819	SAMN31475520	ILLUMINA	PAIRED	31.065	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/068/SRR22201068/SRR22201068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/068/SRR22201068/SRR22201068_2.fastq.gz	3033157438;3576275869	NCBI_SRA	pilot
SRR22201066	Yanggeng4227	japonica	SRR22201066	PRJNA894819	SAMN31475522	ILLUMINA	PAIRED	30.752	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/066/SRR22201066/SRR22201066_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/066/SRR22201066/SRR22201066_2.fastq.gz	3002132705;3572142839	NCBI_SRA	pilot
SRR6983858	Xiushui 110	japonica	SRR6983858	PRJNA448500	SAMN08915616	ILLUMINA	PAIRED	29.237	200.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR698/008/SRR6983858/SRR6983858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR698/008/SRR6983858/SRR6983858_2.fastq.gz	4777260709;4919120599	NCBI_SRA	pilot
SRR19502944	V559_Nanfangchangligeng	japonica	SRR19502944	PRJNA844290	SAMN28812586	ILLUMINA	PAIRED	28.771	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/044/SRR19502944/SRR19502944_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/044/SRR19502944/SRR19502944_2.fastq.gz	4279929814;4427650737	NCBI_SRA	pilot
SRR2544584	RP Bio-226	indica	SRR2544584	PRJNA285384	SAMN03751782	ILLUMINA	PAIRED	27.936	302.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR254/004/SRR2544584/SRR2544584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR254/004/SRR2544584/SRR2544584_2.fastq.gz	3502063737;3424210238	NCBI_SRA	pilot
SRR18272552	Sherpa	aus	SRR18272552	PRJNA813905	SAMN26528297	ILLUMINA	PAIRED	27.851	302.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/052/SRR18272552/SRR18272552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR182/052/SRR18272552/SRR18272552_2.fastq.gz	2530924793;2692549198	NCBI_SRA	pilot
DRR092499	Bekogonomi	indica	DRR092499	PRJDB5765	SAMD00080140	ILLUMINA	PAIRED	27.57	300.0	ftp.sra.ebi.ac.uk/vol1/fastq/DRR092/DRR092499/DRR092499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR092/DRR092499/DRR092499_2.fastq.gz	2601176881;3028708998	DDBJ	pilot
SRR567751	Minghui	indica	SRR567751	PRJNA174121	SAMN01141733	ILLUMINA	PAIRED	26.466	180.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR567/SRR567751/SRR567751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR567/SRR567751/SRR567751_2.fastq.gz	4404522476;4793521505	NCBI_SRA	pilot
