topic	pmid	year	journal	first_author	n_authors	title	doi
rice_cultivar_identification	37155011	2023	Mol Biol Rep	Mishra A	14	Biochemical and SSR based molecular characterization of elite rice varieties for straw lignocellulose	10.1007/s11033-023-08454-w
rice_cultivar_identification	37896000	2023	Plants (Basel)	Escolà G	7	Development and Genome-Wide Analysis of a Blast-Resistant japonica Rice Variety	10.3390/plants12203536
rice_cultivar_identification	36235331	2022	Plants (Basel)	Asif S	9	Identification of the OsCML4 Gene in Rice Related to Salt Stress Using QTL Analysis	10.3390/plants11192467
rice_cultivar_identification	39038946	2024	Plant Cell Environ	Xu Y	6	Discrimination of relatedness drives rice flowering and reproduction in cultivar mixtures	10.1111/pce.15055
rice_cultivar_identification	28144247	2016	Front Plant Sci	Yan W	9	Simultaneous Identification of Multiple Causal Mutations in Rice	10.3389/fpls.2016.02055
rice_cultivar_identification	35684271	2022	Plants (Basel)	Zhang Y	14	Genome-Wide Identification of MDH Family Genes and Their Association with Salt Tolerance in Rice	10.3390/plants11111498
rice_cultivar_identification	30427875	2018	PLoS One	Ran Y	7	Identification of factors affecting rice yield gap in southwest China: An experimental study	10.1371/journal.pone.0206479
rice_cultivar_identification	32566206	2020	Food Sci Nutr	Wang C	10	Effects of storage on brown rice (Oryza sativa L.) metabolites, analyzed using gas chromatography and mass spectrometry	10.1002/fsn3.1589
rice_cultivar_identification	29058482	2018	Nat Prod Res	Ashokkumar K	3	Identification and determination of naturally occurring folates in grains of rice (Oryza sativa L.) by UPLC-MS/MS analysis	10.1080/14786419.2017.1392957
rice_cultivar_identification	35722514	2022	Physiol Mol Biol Plants	Sebastian A	8	Identification and characterization of drought-tolerant local pigmented rice from Indonesia	10.1007/s12298-022-01185-5
rice_cultivar_identification	35598893	2022	Funct Plant Biol	Shaw BP	6	Genes determining panicle morphology and grain quality in rice (Oryza sativa)	10.1071/FP21346
rice_cultivar_identification	33668277	2021	Plants (Basel)	Nakhla WR	6	Identification of QTLs for Salt Tolerance at the Germination and Seedling Stages in Rice	10.3390/plants10030428
rice_cultivar_identification	24946831	2015	J Integr Plant Biol	Fang Y	15	Identification and characterization of Mini1, a gene regulating rice shoot development	10.1111/jipb.12230
rice_cultivar_identification	32146470	2020	Cytogenet Genome Res	Zheng Y	5	Identification and Characterization of γ-Ray-Induced Mutations in Rice Cytoplasmic Genomes by Whole-Genome Sequencing	10.1159/000506033
rice_cultivar_identification	31035128	2019	Spectrochim Acta A Mol Biomol Spectrosc	Chen J	6	Rapid and non-destructive analysis for the identification of multi-grain rice seeds with near-infrared spectroscopy	10.1016/j.saa.2019.03.105
rice_cultivar_identification	35449886	2022	Front Plant Sci	Liang D	13	Identification of Differentially Expressed Genes Reveal Conserved Mechanisms in the Rice-Magnaporthe oryzae Interaction	10.3389/fpls.2022.723356
rice_cultivar_identification	34917058	2021	Front Microbiol	Sahu KP	9	Integrated Metabarcoding and Culturomic-Based Microbiome Profiling of Rice Phyllosphere Reveal Diverse and Functional Bacterial Communities for Blast Disease Suppression	10.3389/fmicb.2021.780458
rice_fingerprint	12920520	2003	Theor Appl Genet	Kobayashi S	5	Molecular marker dissection of rice (Oryza sativa L.) plant architecture under temperate and tropical climates	10.1007/s00122-003-1388-8
rice_fingerprint	37896005	2023	Plants (Basel)	Hao Y	6	Starch Properties and Morphology of Eight Floury Endosperm Mutants in Rice	10.3390/plants12203541
rice_fingerprint	34249986	2021	Front Nutr	Pezzotti G	8	Raman Molecular Fingerprints of Rice Nutritional Quality and the Concept of Raman Barcode	10.3389/fnut.2021.663569
rice_fingerprint	24177769	1994	Theor Appl Genet	Cho YG	4	The semidwarf gene, sd-1, of rice (Oryza sativa L.). II. Molecular mapping and marker-assisted selection	10.1007/BF00226982
rice_fingerprint	39124252	2024	Plants (Basel)	Tang L	5	Detection and Evaluation of Blast Resistance Genes in Backbone Indica Rice Varieties from South China	10.3390/plants13152134
rice_fingerprint	35581907	2022	Plant Dis	Syauqi J	18	Surveillance of Rice Blast Resistance Effectiveness and Emerging Virulent Isolates in Taiwan	10.1094/PDIS-12-21-2806-RE
rice_fingerprint	28184437	2017	Nucleic Acids Res	Li L	12	An accurate and efficient method for large-scale SSR genotyping and applications	10.1093/nar/gkx093
rice_fingerprint	40753219	2025	BMC Plant Biol	Park JR	6	Enhanced rice breeding with GLR1_CAPS marker for glabrous hull selection	10.1186/s12870-025-07113-5
rice_fingerprint	28813631	2017	Genome	Cheng A	5	Rapid and targeted introgression of fgr gene through marker-assisted backcrossing in rice (Oryza sativa L.)	10.1139/gen-2017-0100
rice_fingerprint	36215240	2022	PLoS One	Long W	8	Development of InDel markers for Oryza sativa ssp. javanica based on whole-genome resequencing	10.1371/journal.pone.0274418
rice_fingerprint	31330371	2019	Food Chem	Lange CN	8	Mineral profile exploratory analysis for rice grains traceability	10.1016/j.foodchem.2019.125145
rice_fingerprint	38327661	2024	Saudi J Biol Sci	Rezk AA	3	Genetic variability and diversity analysis in Oryza sativa L. genotypes using quantitative traits and SSR markers	10.1016/j.sjbs.2024.103944
rice_fingerprint	36100693	2022	Theor Appl Genet	Li X	12	Golden 2-like transcription factor contributes to the major QTL against rice black-streaked dwarf virus disease	10.1007/s00122-022-04214-9
rice_fingerprint	36422038	2022	J Fungi (Basel)	Frontini M	5	Increased Rice Susceptibility to Rice Blast Is Related to Post-Flowering Nitrogen Assimilation Efficiency	10.3390/jof8111217
rice_fingerprint	37155011	2023	Mol Biol Rep	Mishra A	14	Biochemical and SSR based molecular characterization of elite rice varieties for straw lignocellulose	10.1007/s11033-023-08454-w
rice_fingerprint	24170005	1995	Theor Appl Genet	Wang B	8	Tagging and mapping the thermo-sensitive genic male-sterile gene in rice (Oryza sativa L.) with molecular markers	10.1007/BF00223928
rice_fingerprint	38498708	2024	Proc Natl Acad Sci U S A	Wang DR	6	Positive effects of public breeding on US rice yields under future climate scenarios	10.1073/pnas.2309969121
rice_fingerprint	41326447	2025	Sci Rep	Swain B	11	Africa's booming rice cultivation is fueling regional warming	10.1038/s41598-025-27436-5
rice_fingerprint	30893952	2019	Microorganisms	Sandoval RFC	2	Phenotypic and Molecular Analyses of Rhizoctonia spp. Associated with Rice and Other Hosts	10.3390/microorganisms7030088
rice_fingerprint	32880855	2021	Plant Mol Biol	Zhang W	10	DNA barcoding of Oryza: conventional, specific, and super barcodes	10.1007/s11103-020-01054-3
rice_fingerprint	22967059	2012	Mol Ecol	Gross BL	1	Rice domestication: histories and mysteries	10.1111/j.1365-294X.2012.05626.x
rice_fingerprint	34487253	2021	Rice (N Y)	Bai S	9	Dissection of the Genetic Basis of Rice Panicle Architecture Using a Genome-wide Association Study	10.1186/s12284-021-00520-w
rice_fingerprint	33498419	2021	Biology (Basel)	Kong H	8	Increases in Genetic Diversity of Weedy Rice Associated with Ambient Temperatures and Limited Gene Flow	10.3390/biology10020071
rice_fingerprint	38046607	2023	Front Plant Sci	Sanchez DL	3	Genetic architecture of head rice and rice chalky grain percentages using genome-wide association studies	10.3389/fpls.2023.1274823
rice_fingerprint	36840105	2023	Plants (Basel)	Zampieri E	14	Marker-Assisted Pyramiding of Blast-Resistance Genes in a japonica Elite Rice Cultivar through Forward and Background Selection	10.3390/plants12040757
rice_pangenome	32633916	2020		Tettelin H	3	Eukaryotic Pangenomes	10.1007/978-3-030-38281-0_12
rice_pangenome	34051138	2021	Cell	Qin P	29	Pan-genome analysis of 33 genetically diverse rice accessions reveals hidden genomic variations	10.1016/j.cell.2021.04.046
rice_pangenome	40240605	2025	Nature	Guo D	24	A pangenome reference of wild and cultivated rice	10.1038/s41586-025-08883-6
rice_pangenome	35821092	2022	Cell Res	Shang L	44	A super pan-genomic landscape of rice	10.1038/s41422-022-00685-z
rice_pangenome	35668795	2022	Front Plant Sci	Sun Y	11	Terpene Synthases in Rice Pan-Genome and Their Responses to Chilo suppressalis Larvae Infesting	10.3389/fpls.2022.905982
rice_pangenome	27940610	2017	Nucleic Acids Res	Sun C	12	RPAN: rice pan-genome browser for ∼3000 rice genomes	10.1093/nar/gkw958
