topic	pmid	year	journal	first_author	n_authors	title	doi
low_coverage_rice	24583583	2014	Genetics	Huang BE	5	Efficient imputation of missing markers in low-coverage genotyping-by-sequencing data from multiparental crosses	10.1534/genetics.113.158014
low_coverage_rice	22138690	2011	Nat Genet	Huang X	24	Genome-wide association study of flowering time and grain yield traits in a worldwide collection of rice germplasm	10.1038/ng.1018
low_coverage_rice	26504677	2015	Appl Plant Sci	Garaycochea S	3	A strategy to recover a high-quality, complete plastid sequence from low-coverage whole-genome sequencing	10.3732/apps.1500022
low_coverage_rice	18976482	2008	BMC Genomics	Kurtz S	4	A new method to compute K-mer frequencies and its application to annotate large repetitive plant genomes	10.1186/1471-2164-9-517
low_coverage_rice	41706841	2026	Sci Adv	Wang M	19	Multiple southward migrations of Neolithic Chinese farmers into Southeast Asia revealed from large-scale Y-chromosome sequences	10.1126/sciadv.ady1597
low_coverage_rice	21390234	2011	PLoS One	Yu H	8	Gains in QTL detection using an ultra-high density SNP map based on population sequencing relative to traditional RFLP/SSR markers	10.1371/journal.pone.0017595
low_coverage_rice	23555916	2013	PLoS One	Kim SI	2	Identification of SNPs in closely related Temperate Japonica rice cultivars using restriction enzyme-phased sequencing	10.1371/journal.pone.0060176
rice_3k_genomes	30992303	2019	Genome Res	Fuentes RR	12	Structural variants in 3000 rice genomes	10.1101/gr.241240.118
rice_3k_genomes	39266564	2024	Nat Commun	Long E	25	Context-aware single-cell multiomics approach identifies cell-type-specific lung cancer susceptibility genes	10.1038/s41467-024-52356-9
rice_3k_genomes	27940610	2017	Nucleic Acids Res	Sun C	12	RPAN: rice pan-genome browser for ∼3000 rice genomes	10.1093/nar/gkw958
rice_3k_genomes	41784043	2026	Aging Cell	Zhang Z	11	The Immune Cell Atlas of "Longevity Molecular Tag": Identification of Principal Immune Cell Subsets and Their Underlying Molecular Regulatory Mechanisms	10.1111/acel.70431
rice_3k_genomes	35396275	2022	Genome Res	Zhang F	9	Long-read sequencing of 111 rice genomes reveals significantly larger pan-genomes	10.1101/gr.276015.121
rice_3k_genomes	40670951	2025	BMC Public Health	Chen S	6	Facilitators and barriers of reducing sedentary behavior in sedentary and non-sedentary older adults: a descriptive qualitative study based on the COM-B model and TDF	10.1186/s12889-025-23613-3
rice_3k_genomes	40600464	2025	Diabetes Obes Metab	Wang S	4	The cost-utility and budget impact analyses of Tirzepatide versus once-weekly Semaglutide as add-on therapy to metformin in patients with type 2 diabetes mellitus in China	10.1111/dom.16580
rice_3k_genomes	30604755	2019	Nat Commun	Carpentier MC	10	Retrotranspositional landscape of Asian rice revealed by 3000 genomes	10.1038/s41467-018-07974-5
rice_3k_genomes	33600286	2021	J Appl Physiol (1985)	Al-Ruweidi MKAA	5	Dexamethasone and transdehydroandrosterone significantly reduce pulmonary epithelial cell injuries associated with mechanical ventilation	10.1152/japplphysiol.00574.2020
rice_3k_genomes	34299477	2021	Molecules	Sun S	8	Two New Iridoid Glucosides from the Whole Plant of Patrinia scabiosifolia Link	10.3390/molecules26144201
rice_3k_genomes	32132285	2020	Acta Crystallogr C Struct Chem	Qu Z	7	Characterization, crystal structure and cytotoxic activity of a rare iridoid glycoside from Lonicera saccata	10.1107/S2053229620001977
rice_3k_genomes	32272554	2020	Cancers (Basel)	Wang Z	6	Integrated Analysis of RNA-Binding Proteins in Glioma	10.3390/cancers12040892
rice_3k_genomes	32809127	2020	Nat Prod Bioprospect	Zhang L	9	Purity and Uncertainty Study of CRM Betulin by DSC	10.1007/s13659-020-00261-1
rice_3k_genomes	37261963	2023	Radiographics	Fennessy FM	2	Invited Commentary: Pelvic MRI Is Now the Basis of Personalized Fibroid Care	10.1148/rg.220212
rice_3k_genomes	36365266	2022	Plants (Basel)	Syu CH	7	Uncovering the Genetic of Cadmium Accumulation in the Rice 3K Panel	10.3390/plants11212813
rice_3k_genomes	30485495	2019	J Cell Biochem	Qi Y	9	Long noncoding RNA HOXD-AS2 regulates cell cycle to promote glioma progression	10.1002/jcb.28117
rice_3k_genomes	39716157	2024	BMC Med Educ	Yasin YM	6	From decision to destination: factors influencing healthcare students' career paths in Qatar	10.1186/s12909-024-06527-3
rice_3k_genomes	39324755	2024	Angew Chem Int Ed Engl	Sun X	11	Chemical Recording of Pump-Specific Drug Efflux in Living Cells	10.1002/anie.202409282
rice_3k_genomes	33432466	2021	Bot Stud	Lin YL	4	Explore the genetics of weedy traits using rice 3K database	10.1186/s40529-020-00309-y
rice_3k_genomes	29748895	2018	Rice (N Y)	Xu Y	7	Genomic selection of agronomic traits in hybrid rice using an NCII population	10.1186/s12284-018-0223-4
rice_3k_genomes	38273959	2023	Front Plant Sci	Sachdeva S	7	Multi-model genome-wide association studies for appearance quality in rice	10.3389/fpls.2023.1304388
rice_3k_genomes	35409042	2022	Int J Mol Sci	Abdulkareem A	9	Novel Slippery Liquid-Infused Porous Surfaces (SLIPS) Based on Electrospun Polydimethylsiloxane/Polystyrene Fibrous Structures Infused with Natural Blackseed Oil	10.3390/ijms23073682
rice_3k_genomes	36340400	2022	Front Plant Sci	Siangliw JL	9	Response of Southeast Asian rice root architecture and anatomy phenotypes to drought stress	10.3389/fpls.2022.1008954
rice_3k_genomes	34677554	2021	Membranes (Basel)	Guan X	3	Flexible, Transparent and Highly Conductive Polymer Film Electrodes for All-Solid-State Transparent Supercapacitor Applications	10.3390/membranes11100788
rice_3k_genomes	25429973	2015	Nucleic Acids Res	Alexandrov N	13	SNP-Seek database of SNPs derived from 3000 rice genomes	10.1093/nar/gku1039
