study_accession	n_runs	evidence	pmid	doi	year	journal	title	reported_n	scale_check	scale_note
PRJNA497989	71	fulltext_mention	34562099	10.1093/molbev/msab286	2021		Somatic Mutation Analysis in Salix suchowensis Reveals Early-Segregated Cell Lineages.		unknown	摘要未给出样本量，无法核验
PRJNA1473512	70	none								
PRJDB35523	69	none								
PRJNA526117	63	fulltext_mention	38933462	10.3389/fpls.2024.1421207	2024		Seed development-related genes contribute to high yield heterosis in integrated utilization of elite autotetraploid and neo-tetraploid rice.	119	match	run/样本 = 0.53（近乎 1:1，高度可信）
PRJNA1279394	62	fulltext_mention	40909894	10.3389/fpls.2025.1622640	2025		Insight into the genetics of a novel white-striped leaf in rice.		unknown	摘要未给出样本量，无法核验
PRJEB6064	61	none								
PRJNA521670	56	none								
PRJNA422249	56	fulltext_mention	37467142	10.7554/elife.86324	2023		Transposons are important contributors to gene expression variability under selection in rice populations.	208	runs_fewer	run/样本 = 0.27（run 少于自述样本量，可能仅部分数据）
PRJNA433716	54	fulltext_mention	29478186	10.1007/s00122-018-3077-7	2018		Aneuploidization under segmental allotetraploidy in rice and its phenotypic manifestation.		unknown	摘要未给出样本量，无法核验
PRJDB40960	54	none								
PRJEB19404	53	fulltext_mention	38499575	10.1038/s41467-024-46691-0	2024		Dynamics of extrachromosomal circular DNA in rice.		unknown	摘要未给出样本量，无法核验
PRJNA942452	51	fulltext_mention	37169820	10.1038/s43016-023-00742-9	2023		Multi-omics resources for targeted agronomic improvement of pigmented rice.	46	match	run/样本 = 1.11（近乎 1:1，高度可信）
PRJNA321462	50	fulltext_mention	37191779	10.1186/s12284-023-00642-3	2023		Genetic Diversity and Breeding Signatures for Regional Indica Rice Improvement in Guangdong of Southern China.	517	runs_fewer	run/样本 = 0.10（run 少于自述样本量，可能仅部分数据）
PRJNA475371	50	none								
PRJNA847219	48	fulltext_mention	36076028	10.1038/s42003-022-03803-0	2022		Genomic revolution of US weedy rice in response to 21st century agricultural technologies.		unknown	摘要未给出样本量，无法核验
PRJDB38846	47	none								
PRJNA331215	46	fulltext_mention	34064770	10.3390/genes12050718	2021		Genome-Wide Association Study Identified Novel Candidate Loci/Genes Affecting Lodging Resistance in Rice.	550	runs_fewer	run/样本 = 0.08（run 少于自述样本量，可能仅部分数据）
PRJEB36631	46	fulltext_mention	40380148	10.1186/s13007-025-01380-x	2025		SSR_VibraProfiler: a Python package for accurate classification of varieties using SSRs with intra-variety specificity and inter-variety polymorphism.	8	mismatch	run/样本 = 5.75（★ 差距过大，疑为误匹配）
PRJNA205324	44	none								
PRJNA878954	44	none								
PRJNA1116583	42	fulltext_mention	39872202	10.3389/fpls.2024.1507827	2024		Improving panicle blast resistance and fragrance in a high-quality <i>japonica</i> rice variety through breeding.		unknown	摘要未给出样本量，无法核验
PRJNA929285	40	fulltext_mention	37047036	10.3390/ijms24076065	2023		Patterns of Chromosomal Variation, Homoeologous Exchange, and Their Relationship with Genomic Features in Early Generations of a Synthetic Rice Segmental Allote		unknown	摘要未给出样本量，无法核验
PRJNA1134419	40	none								
PRJNA601617	38	none								
PRJNA855573	38	none								
PRJNA983080	36	none								
PRJNA344937	36	fulltext_mention	32213201	10.1186/s13059-020-01980-x	2020		Diverse genetic mechanisms underlie worldwide convergent rice feralization.		unknown	摘要未给出样本量，无法核验
PRJNA705309	35	none								
PRJNA232554	35	none								
PRJNA1180626	35	fulltext_mention	40538637	10.3389/fgene.2025.1544652	2025		K-rice: a comprehensive database of Korean rice germplasm variants.		unknown	摘要未给出样本量，无法核验
PRJNA1175750	33	none								
PRJNA1254482	33	fulltext_mention	40652545	10.1111/pbi.70257	2025		Transgene-Killer-CRISPR version 2 (TKC2) eliminates occasional transgene escape by coupling with a RUBY reporter.		unknown	摘要未给出样本量，无法核验
PRJNA564458	31	fulltext_mention	36513420	10.1016/j.jare.2021.12.004	2022		Multi-omics analysis reveals the genetic basis of rice fragrance mediated by betaine aldehyde dehydrogenase 2.	475	runs_fewer	run/样本 = 0.07（run 少于自述样本量，可能仅部分数据）
PRJNA681630	31	none								
PRJEB73710	30	fulltext_mention	40240605	10.1038/s41586-025-08883-6	2025		A pangenome reference of wild and cultivated rice.	129	runs_fewer	run/样本 = 0.23（run 少于自述样本量，可能仅部分数据）
PRJNA407820	30	fulltext_mention	33547986	10.1186/s12284-021-00459-y	2021		Genomics Analyses Reveal Unique Classification, Population Structure and Novel Allele of Neo-Tetraploid Rice.		unknown	摘要未给出样本量，无法核验
PRJNA1256609	27	fulltext_mention	41001110	10.3389/fpls.2025.1613802	2025		Transcriptomic analysis of rice cultivars with distinct resistance mechanisms to &lt;i&gt;Xanthomonas oryzae&lt;/i&gt; pv. &lt;i&gt;oryzicola&lt;/i&gt; reveals 	249	runs_fewer	run/样本 = 0.11（run 少于自述样本量，可能仅部分数据）
PRJEB6180	26	fulltext_mention	39486028	10.1093/g3journal/jkae251	2025		Thousands of trait-specific KASP markers designed for diverse breeding applications in rice (Oryza sativa).	129	runs_fewer	run/样本 = 0.20（run 少于自述样本量，可能仅部分数据）
PRJNA1444355	25	none								
PRJDB7217	25	fulltext_mention	30458025	10.1371/journal.pone.0207627	2018		Description of grain weight distribution leading to genomic selection for grain-filling characteristics in rice.		unknown	摘要未给出样本量，无法核验
PRJDB7694	25	none								
PRJEB30329	25	fulltext_mention	31278256	10.1038/s41467-019-11017-y	2019		Dissecting a heterotic gene through GradedPool-Seq mapping informs a rice-improvement strategy.		unknown	摘要未给出样本量，无法核验
PRJNA485658	24	fulltext_mention	34240169	10.1093/molbev/msab209	2021		Genome Analysis Traces Regional Dispersal of Rice in Taiwan and Southeast Asia.		unknown	摘要未给出样本量，无法核验
PRJNA271253	24	fulltext_mention	30037991	10.1073/pnas.1806110115	2018		Identifying a large number of high-yield genes in rice by pedigree analysis, whole-genome sequencing, and CRISPR-Cas9 gene knockout.	30	match	run/样本 = 0.80（近乎 1:1，高度可信）
PRJNA663050	23	none								
PRJNA508943	23	none								
PRJNA659864	22	fulltext_mention	36944612	10.1038/s41467-023-37004-y	2023		Pan-genome inversion index reveals evolutionary insights into the subpopulation structure of Asian rice.		unknown	摘要未给出样本量，无法核验
PRJNA1287108	22	fulltext_mention	40898028	10.1186/s12870-025-07239-6	2025		QTL-seq identifies NAL1 and OsOFP19 as additive regulators of tiller number in rice (Oryza sativa L.).		unknown	摘要未给出样本量，无法核验
PRJEB64146	20	fulltext_mention	41249292	10.1038/s41598-025-23999-5	2025		Whole-genome polymorphisms and relatedness of rice varieties circulating in the Mediterranean market.		unknown	摘要未给出样本量，无法核验
PRJNA763248	20	fulltext_mention	36215240	10.1371/journal.pone.0274418	2022		Development of InDel markers for Oryza sativa ssp. javanica based on whole-genome resequencing.	60	runs_fewer	run/样本 = 0.33（run 少于自述样本量，可能仅部分数据）
PRJNA1122958	20	fulltext_mention	41618846	10.1002/advs.202523376	2026		Additive and Partially Dominant Effects from Genomic Variation Contribute to Rice Heterosis.		unknown	摘要未给出样本量，无法核验
