# 疑似编号型品种名，无法自动解析为规范名，待人工核对
# 格式：规范化键<TAB>n_runs<TAB>原始写法
02428	5	02428|#02428
91	3	91
32	3	32
2	2	2
25	2	25
1390	2	1390
988	2	988
20	2	20
110080	2	110080
900	2	900
1128	2	1128
11	2	11
551	2	551
1394	2	1394
6	2	6
30	2	30
610234	2	610234
86	2	86
7	2	7
27	2	27
79	2	79
14	2	14
625	1	625
8303	1	8303
6185	1	6185
6044	1	6044
11390	1	11390
4484	1	4484
632	1	632
622	1	622
621	1	621
612	1	612
609	1	609
1264	1	1264
1255	1	1255
1252	1	1252
1245	1	1245
1226	1	1226
1203	1	1203
844	1	844
837	1	837
812	1	812
811	1	811
798	1	798
797	1	797
1108	1	1108
762	1	762
440	1	440
44	1	44
436	1	436
427	1	427
1449	1	1449
1438	1	1438
1403	1	1403
1395	1	1395
1079	1	1079
596	1	596
591	1	591
585	1	585
581	1	581
565	1	565
561	1	561
558	1	558
557	1	557
556	1	556
50	1	50
495	1	495
491	1	491
472	1	472
471	1	471
470	1	470
1380	1	1380
1373	1	1373
1372	1	1372
1348	1	1348
1044	1	1044
1166	1	1166
996	1	996
973	1	973
941	1	941
1120	1	1120
916	1	916
897	1	897
885	1	885
876	1	876
730	1	730
717	1	717
713	1	713
700	1	700
1099	1	1099
692	1	692
1098	1	1098
681	1	681
1305	1	1305
547	1	547
543	1	543
532	1	532
530	1	530
516	1	516
511	1	511
1006	1	1006
rn802	1	rn802
rn11	1	rn11
rn11x	1	rn11x
1384	1	1384
31	1	31
23	1	23
18	1	18
1	1	1
em253	1	em253
em254	1	em254
em263	1	em263
em265	1	em265
em064	1	em064
em071	1	em071
em076	1	em076
em079	1	em079
em083	1	em083
em091	1	em091
em099	1	em099
em104	1	em104
em110	1	em110
em113	1	em113
em117	1	em117
em230	1	em230
em232	1	em232
em239	1	em239
em276	1	em276
em151	1	em151
em162	1	em162
em167	1	em167
em169	1	em169
em171	1	em171
em207	1	em207
em209	1	em209
em212	1	em212
em215	1	em215
em123	1	em123
em132	1	em132
em285	1	em285
em137	1	em137
em142	1	em142
em189	1	em189
em195	1	em195
em200	1	em200
em292	1	em292
403	1	403
119	1	119
500594	1	500594
79106	1	79106
5450	1	5450
1154	1	1154
1126	1	1126
13494	1	13494
6078	1	6078
1096	1	1096
650	1	650
634	1	634
616	1	616
611	1	611
1280	1	1280
1272	1	1272
1268	1	1268
1031	1	1031
1257	1	1257
1251	1	1251
846	1	846
1113	1	1113
810	1	810
801	1	801
423	1	423
414	1	414
37	1	37
1431	1	1431
1420	1	1420
1416	1	1416
1048	1	1048
1399	1	1399
592	1	592
588	1	588
571	1	571
1074	1	1074
564	1	564
555	1	555
493	1	493
464	1	464
463	1	463
461	1	461
453	1	453
