sample_id	canonical_name	variety_name	subspecies	accession	BioProject	BioSample	SRA_accession	ENA_accession	country	sequencing_platform	paired_or_single	estimated_depth	read_length	reference_genome	fastq_ftp	fastq_bytes	source_db	name_quality	panel_role
SRR15040831	19W35	19W35	indica	SRR15040831	PRJNA743713	SAMN20058553	SRR15040831		China: Fuzhou	ILLUMINA	PAIRED	22.653	299.7	IRGSP-1.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/031/SRR15040831/SRR15040831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/031/SRR15040831/SRR15040831_2.fastq.gz	1526302898;1527244391	NCBI_SRA	good	pilot
DRR179816	BOUZU 1	BOUZU 1	japonica	DRR179816	PRJDB8365	SAMD00164589		DRR179816	Japan	ILLUMINA	PAIRED	22.213	300.0	IRGSP-1.0	ftp.sra.ebi.ac.uk/vol1/fastq/DRR179/DRR179816/DRR179816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR179/DRR179816/DRR179816_2.fastq.gz	2358118659;2674247963	DDBJ	good	pilot
SRR15040811	19W70	19W70	indica	SRR15040811	PRJNA743713	SAMN20058571	SRR15040811		China: Fuzhou	ILLUMINA	PAIRED	21.737	299.7	IRGSP-1.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/011/SRR15040811/SRR15040811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/011/SRR15040811/SRR15040811_2.fastq.gz	1486244479;1485749502	NCBI_SRA	good	pilot
SRR17344245	Santhi 990	Santhi 990	aus	SRR17344245	PRJNA792623	SAMN24449258	SRR17344245		Pakistan	ILLUMINA	PAIRED	21.61	180.0	IRGSP-1.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/045/SRR17344245/SRR17344245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/045/SRR17344245/SRR17344245_2.fastq.gz	3719237051;3804442873	NCBI_SRA	good	pilot
SRR17344239	Spin Mere	Spin Mere	aus	SRR17344239	PRJNA792623	SAMN24449308	SRR17344239		Afghanistan	ILLUMINA	PAIRED	21.552	180.0	IRGSP-1.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/039/SRR17344239/SRR17344239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/039/SRR17344239/SRR17344239_2.fastq.gz	3698558133;3827789881	NCBI_SRA	good	pilot
SRR32126008	P 32::GSOR 311085-G1	P 32::GSOR 311085-G1	admixed	SRR32126008	PRJNA1214498	SAMN46374742	SRR32126008			ILLUMINA	PAIRED	21.538	202.0	IRGSP-1.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR321/008/SRR32126008/SRR32126008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR321/008/SRR32126008/SRR32126008_2.fastq.gz	3694006007;3646938018	NCBI_SRA	good	pilot
SRR17344256	C.B. II	C.B. II	aus	SRR17344256	PRJNA792623	SAMN24449297	SRR17344256		Japan	ILLUMINA	PAIRED	21.521	180.0	IRGSP-1.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/056/SRR17344256/SRR17344256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR173/056/SRR17344256/SRR17344256_2.fastq.gz	3765531367;3887746951	NCBI_SRA	good	pilot
SRR33723419	Yamuna	Yamuna	indica	SRR33723419	PRJNA1268320	SAMN48749499	SRR33723419			ILLUMINA	PAIRED	21.279	302.0	IRGSP-1.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR337/019/SRR33723419/SRR33723419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR337/019/SRR33723419/SRR33723419_2.fastq.gz	1645667345;1733267868	NCBI_SRA	good	pilot
SRR19502941	V057_Kendao12	V057_Kendao12	japonica	SRR19502941	PRJNA844290	SAMN28812097	SRR19502941		China	ILLUMINA	PAIRED	21.163	200.0	IRGSP-1.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/041/SRR19502941/SRR19502941_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR195/041/SRR19502941/SRR19502941_2.fastq.gz	3381847234;3604914603	NCBI_SRA	good	pilot
SRR15040869	Jiangxiang1	Jiangxiang1	indica	SRR15040869	PRJNA743713	SAMN20058628	SRR15040869		China: Fuzhou	ILLUMINA	PAIRED	20.818	299.7	IRGSP-1.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/069/SRR15040869/SRR15040869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/069/SRR15040869/SRR15040869_2.fastq.gz	1422443940;1421886803	NCBI_SRA	good	pilot
SRR25567266	Gaekjujodo	Gaekjujodo		SRR25567266	PRJNA1003283	SAMN36886480	SRR25567266		South Korea:Suwon	ILLUMINA	PAIRED	20.034	302.0	IRGSP-1.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR255/066/SRR25567266/SRR25567266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR255/066/SRR25567266/SRR25567266_2.fastq.gz	1396692204;1402766789	NCBI_SRA	good	pilot
SRR12523534	Gangxiang1A	Gangxiang1A		SRR12523534	PRJNA656900	SAMN15806116	SRR12523534		China:Sichuan	ILLUMINA	PAIRED	20.031	300.0	IRGSP-1.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/034/SRR12523534/SRR12523534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/034/SRR12523534/SRR12523534_2.fastq.gz	1695927642;1765463626	NCBI_SRA	good	pilot
DRR771401	Long Japonica 13	Long Japonica 13	japonica	DRR771401	PRJDB36518	SAMD01666525		DRR771401	missing: data agreement established pre-2023	ILLUMINA	PAIRED	20.024	299.6	IRGSP-1.0	ftp.sra.ebi.ac.uk/vol1/fastq/DRR771/DRR771401/DRR771401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR771/DRR771401/DRR771401_2.fastq.gz	1452926707;1548248398	DDBJ	good	pilot
SRR22440195	Ganggye 12	Ganggye 12		SRR22440195	PRJNA896894	SAMN31571477	SRR22440195		North Korea	ILLUMINA	PAIRED	20.024	300.0	IRGSP-1.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR224/095/SRR22440195/SRR22440195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR224/095/SRR22440195/SRR22440195_2.fastq.gz	3227019655;3153408450	NCBI_SRA	good	pilot
SRR12523904	LT4	LT4		SRR12523904	PRJNA656900	SAMN15806422	SRR12523904		China:Vietnam	ILLUMINA	PAIRED	20.019	300.0	IRGSP-1.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/004/SRR12523904/SRR12523904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/004/SRR12523904/SRR12523904_2.fastq.gz	1736248153;1813260725	NCBI_SRA	code	pilot
SRR22223604	G41761	G41761		SRR22223604	PRJNA896343	SAMN31564316	SRR22223604		China:Nanjing	ILLUMINA	PAIRED	20.0	300.0	IRGSP-1.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/004/SRR22223604/SRR22223604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR222/004/SRR22223604/SRR22223604_2.fastq.gz	1649309793;1676014573	NCBI_SRA	code	pilot
SRR12524065	Xiangzaoxian13hao	Xiangzaoxian13hao		SRR12524065	PRJNA656900	SAMN15806862	SRR12524065		China:Hunan	ILLUMINA	PAIRED	20.0	300.0	IRGSP-1.0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/065/SRR12524065/SRR12524065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR125/065/SRR12524065/SRR12524065_2.fastq.gz	1621254626;1704691407	NCBI_SRA	good	pilot
